test_id	test_value
M700-6	-8,2
M700-6	-8,0
M700-6	-8,1
M700-6	-8,0
M700-6	-7,9
M700-6	-7,9
M700-6	-8,1
M700-6	-8,0
M700-6	-8,1
M700-6	-8,3
M700-6	-8,2
M700-6	-8,0
M700-6	-8,0
M700-6	-8,1
M700-6	-8,1
M700-6	-8,0
M700-6	-7,9
M700-6	-8,2
M700-6	-7,9
M700-6	-8,1
M700-6	-7,9
M700-6	-8,0
M700-6	-8,1
M700-6	-8,0
M700-6	-8,1
M700-6	-7,9
M700-6	-8,0
M700-6	-7,8
M700-6	-8,1
M700-6	-7,9
M700-6	-7,9
M700-6	-8,1
M700-6	-8,1
M700-6	-8,0
M700-6	-8,2
M700-6	-8,1
M700-6	-8,1
M700-6	-8,2
M700-6	-7,9
M700-6	-7,9
M700-6	-7,8
M700-6	-8,2
M700-6	-7,9
M700-6	-8,0
M700-6	-8,1
M700-6	-8,2
M700-6	-8,0
M700-6	-8,1
M700-6	-8,2
M700-6	-8,1
M700-6	-8,1
M700-6	-8,2
M700-6	-8,1
M700-6	-8,0
OSKP600-77	11,22
OSKP600-77	11,37
OSKP600-77	11,455
OSKP600-77	10,845
OSKP600-77	11,359
OSKP600-77	11,848
OSKP600-77	10,755
OSKP600-77	11,571
OSKP600-77	11,286
OSKP600-77	10,608
OSKP600-77	11,707
OSKP600-77	12,125
OSKP600-77	11,249
OSKP600-77	10,967
OSKP600-77	11,904
OSKP600-77	11,421
OSKP600-77	11,492
OSKP600-77	11,437
OSKP600-77	10,503
OSKP600-77	11,232
OSKP600-77	11,677
OSKP600-77	12,148
OSKP600-77	11,177
OSKP600-77	10,975
OSKP600-77	11,307
OSKP600-77	11,326
OSKP600-77	11,397
OSKP600-77	11,555
OSKP600-77	11,261
OSKP600-77	10,725
OSKP600-77	11,608
OSKP600-77	11,788
OSKP600-77	11,821
OSKP600-77	11,091
OSKP600-77	11,237
OSKP600-77	11,367
OSKP600-77	11,908
OSKP600-77	11,366
OSKP600-77	10,646
OSKP600-77	10,45
OSKP600-77	11,566
OSKP600-77	11,753
OSKP600-77	11,407
OSKP600-77	11,201
OSKP600-77	11,575
OSKP600-77	11,836
OSKP600-77	11,395
OSKP600-77	11,748
OSKP600-77	11,388
OSKP600-77	12,16
OSKP600-77	10,821
OSKP600-77	10,617
OSKP600-77	11,375
OSKP600-77	11,193
OSKP600-77	11,243
OSKP600-77	11,204
OSKP600-77	11,292
OSKP600-77	11,44
OSKP600-77	11,3
OSKP600-77	11,431
OSKP600-77	11,452
OSKP600-77	9,957
M400-6	0,374282692734635
M400-6	0,416559811118728
M400-6	0,494049498708704
M400-6	0,41074952921173
M400-6	0,502972347835552
M400-6	0,459496551062801
M400-6	0,408401521899441
M400-6	0,365037344912168
M400-6	0,367671352997366
M400-6	0,393607014812192
M400-6	0,366388507806363
M400-6	0,357922899709094
M400-6	0,42629826497563
M400-6	0,4819896905686
M400-6	0,384375175311723
M400-6	0,460108368524511
M400-6	0,344022315623253
M400-6	0,412791183500573
M400-6	0,431367318602904
M400-6	0,409946596487857
M400-6	0,395324617084478
M400-6	0,392035515590955
M400-6	0,360258554315127
M400-6	0,39550945884004
M400-6	0,367149291792131
M400-6	0,358299195344005
M400-6	0,44451092530439
M400-6	0,433447151401095
M400-6	0,404414753283767
M400-6	0,419287458194229
M400-6	0,393220056147507
M400-6	0,342158640980556
M400-6	0,350915658633815
M400-6	0,370635365032845
M400-6	0,339456627674009
M400-6	0,383012359671366
M400-6	0,356204964501518
M400-6	0,419961132363675
M400-6	0,336135205292221
M400-6	0,378128720494521
M400-6	0,406057616626353
M400-6	0,357598885190245
M400-6	0,355293057296446
M400-6	0,397862562453378
M400-6	0,388114225067873
M400-6	0,377842720858315
M400-6	0,414456791003721
M400-6	0,453985479403977
M400-6	0,396126954387226
M400-6	0,401813998988454
M400-6	0,4060886591783
M400-6	0,458961321288828
M400-6	0,372216387575654
M400-6	0,3827097087099
M400-6	0,410962453460795
M400-6	0,3930027639655
M400-6	0,40179092075597
M400-6	0,379487075025531
M400-6	0,465291280445784
M400-6	0,353521951250186
M400-6	0,470348706325268
M400-6	0,421988741996714
M500-9	179,256565726251
M500-9	179,041466849751
M500-9	179,253792517861
M500-9	179,221427346495
M500-9	179,261588569518
M500-9	179,25864785504
M500-9	179,271475172062
M500-9	179,266237565394
M500-9	179,055098476747
M500-9	179,242912576125
M500-9	179,26795941572
M500-9	179,229318848551
M500-9	179,26531815347
M500-9	179,225948139384
M500-9	179,263342236644
M500-9	179,239369214031
M500-9	179,238539637774
M500-9	179,151574499046
M500-9	179,190085459547
M500-9	179,243393571271
M500-9	179,268228454833
M500-9	179,261050959187
